date,price
2021-06-21,73
2021-06-22,73
2021-06-23,73
2021-06-24,72
2021-06-25,72
2021-06-28,72
2021-06-29,73
2021-06-30,73
2021-07-01,73
2021-07-02,73
2021-07-05,73
2021-07-06,74
2021-07-07,74
2021-07-08,75
2021-07-09,74
2021-07-12,74
2021-07-13,74
2021-07-14,74
2021-07-15,74
2021-07-16,74
2021-07-19,74
2021-07-20,74
2021-07-21,74
2021-07-22,74
2021-07-23,74
2021-07-26,74
2021-07-27,74
2021-07-28,74
2021-07-29,73
2021-07-30,73
2021-08-02,73
2021-08-03,73
2021-08-04,73
2021-08-05,73
2021-08-06,73
2021-08-09,74
2021-08-10,74
2021-08-11,74
2021-08-12,73
2021-08-13,73
2021-08-16,73
2021-08-17,73
2021-08-18,74
2021-08-19,74
2021-08-20,74
2021-08-23,74
2021-08-24,74
2021-08-25,74
2021-08-26,74
2021-08-27,74
2021-08-30,73
2021-08-31,73
2021-09-01,73
2021-09-02,73
2021-09-03,73
2021-09-06,73
2021-09-07,73
2021-09-08,73
2021-09-09,73
2021-09-10,73
2021-09-13,73
2021-09-14,73
2021-09-15,73
2021-09-16,72
2021-09-17,73
2021-09-20,73
2021-09-21,73
2021-09-22,73
2021-09-23,73
2021-09-24,73
2021-09-27,73
2021-09-28,73
2021-09-29,73
2021-09-30,73
2021-10-01,73
2021-10-04,73
2021-10-05,72
2021-10-06,72
2021-10-07,72
2021-10-08,72
2021-10-11,72
2021-10-12,72
2021-10-13,72
2021-10-14,72
2021-10-15,71
2021-10-18,71
2021-10-19,71
2021-10-20,71
2021-10-21,71
2021-10-22,70
2021-10-25,70
2021-10-26,69
2021-10-27,70
2021-10-28,70
2021-10-29,71
2021-11-01,71
2021-11-02,72
2021-11-03,72
2021-11-04,72
2021-11-05,72
2021-11-08,71
2021-11-09,71
2021-11-10,70
2021-11-11,71
2021-11-12,72
2021-11-15,72
2021-11-16,73
2021-11-17,73
2021-11-18,73
2021-11-19,73
2021-11-22,74
2021-11-23,75
2021-11-24,75
2021-11-25,75
2021-11-26,75
2021-11-29,75
2021-11-30,74
2021-12-01,74
2021-12-02,74
2021-12-03,74
2021-12-06,74
2021-12-07,74
2021-12-08,74
2021-12-09,74
2021-12-10,74
